ID,原图路径,宽,高,类别_多标签,版式,浏览级别,总览板,入选组
001,private_assets/source/123罗德岛_官方原图/001_阿米娅篇/01.jpg,600,1636,全身人物;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
002,private_assets/source/123罗德岛_官方原图/001_阿米娅篇/02.jpg,600,1636,全身人物;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
003,private_assets/source/123罗德岛_官方原图/001_阿米娅篇/03.jpg,600,1636,双人对话;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
004,private_assets/source/123罗德岛_官方原图/002_博士篇/01.jpg,600,1636,双人对话;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
005,private_assets/source/123罗德岛_官方原图/002_博士篇/02.jpg,600,1636,双人对话;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
006,private_assets/source/123罗德岛_官方原图/003_令篇/01.png,600,1636,双人对话;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
007,private_assets/source/123罗德岛_官方原图/003_令篇/02.png,600,1636,多人场景;双人对话;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
008,private_assets/source/123罗德岛_官方原图/004_老鲤篇/01.jpg,600,1636,半身人物;双人对话;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
009,private_assets/source/123罗德岛_官方原图/004_老鲤篇/02.jpg,600,1636,半身人物;双人对话;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
010,private_assets/source/123罗德岛_官方原图/005_夜半篇/01.jpg,600,1636,全身人物;双人对话;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
011,private_assets/source/123罗德岛_官方原图/005_夜半篇/02.jpg,600,1636,全身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
012,private_assets/source/123罗德岛_官方原图/006_寒芒克洛丝篇/01.jpg,600,1636,半身人物;双人对话;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
013,private_assets/source/123罗德岛_官方原图/006_寒芒克洛丝篇/02.jpg,600,1636,全身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
014,private_assets/source/123罗德岛_官方原图/007_夏栎篇/01.jpg,600,1636,半身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
015,private_assets/source/123罗德岛_官方原图/007_夏栎篇/02.jpg,600,1636,全身人物;多人场景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
016,private_assets/source/123罗德岛_官方原图/008_澄闪篇/01.jpg,600,1636,全身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
017,private_assets/source/123罗德岛_官方原图/008_澄闪篇/02.jpg,600,1636,全身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
018,private_assets/source/123罗德岛_官方原图/009_斑点篇/01.jpg,600,1636,双人对话;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
019,private_assets/source/123罗德岛_官方原图/009_斑点篇/02.jpg,600,1636,双人对话;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
020,private_assets/source/123罗德岛_官方原图/010_菲亚梅塔篇/01.jpg,600,1636,全身人物;双人对话;室外背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
021,private_assets/source/123罗德岛_官方原图/010_菲亚梅塔篇/02.jpg,600,1636,大头特写;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
022,private_assets/source/123罗德岛_官方原图/011_见行者篇/01.jpg,600,1636,双人对话;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
023,private_assets/source/123罗德岛_官方原图/011_见行者篇/02.jpg,600,1636,半身人物;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
024,private_assets/source/123罗德岛_官方原图/012_风丸篇/01.jpg,600,1636,双人对话;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/01.jpg,
025,private_assets/source/123罗德岛_官方原图/012_风丸篇/02.jpg,600,1636,全身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
026,private_assets/source/123罗德岛_官方原图/013_黑角篇/01.jpg,600,1636,双人对话;半身人物;极端表情,漫画页,总览视觉浏览＋原像素裁片复核,private_assets/derived/overview/02.jpg,core
027,private_assets/source/123罗德岛_官方原图/013_黑角篇/02.jpg,600,1636,双人对话;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
028,private_assets/source/123罗德岛_官方原图/014_号角篇/01.jpg,600,1636,半身人物;双人对话;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
029,private_assets/source/123罗德岛_官方原图/014_号角篇/02.jpg,600,1636,双人对话;半身人物;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
030,private_assets/source/123罗德岛_官方原图/015_海蒂篇/01.jpg,600,1636,双人对话;多人场景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
031,private_assets/source/123罗德岛_官方原图/015_海蒂篇/02.jpg,600,1636,半身人物;双人对话;多人场景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
032,private_assets/source/123罗德岛_官方原图/016_褐果篇/01.jpg,600,1636,半身人物;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
033,private_assets/source/123罗德岛_官方原图/016_褐果篇/02.jpg,600,1636,双人对话;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
034,private_assets/source/123罗德岛_官方原图/017_洛洛篇/01.jpg,600,1636,双人对话;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
035,private_assets/source/123罗德岛_官方原图/017_洛洛篇/02.jpg,600,1636,全身人物;半身人物;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
036,private_assets/source/123罗德岛_官方原图/018_暴行篇/01.jpg,600,1636,双人对话;多人场景;室内背景,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
037,private_assets/source/123罗德岛_官方原图/018_暴行篇/02.jpg,600,1636,双人对话;多人场景;极端表情,漫画页,总览视觉浏览,private_assets/derived/overview/02.jpg,
