# 每行对应一张总览板，从左到右、从上到下；F全身 H半身 C大头 E极端表情 D双人对话 M多人场景 I室内 O室外。保守标注显著用途，非穷尽每个小分镜。
FMI FMI DE DE DMI DME MDE HDI HDI FDI FME HDE FME HME FM FME FME DHI DHI FDO CE DHI HE DMI
FME DHE DHI HDE DHE DM HDM HME DMI DHI FHI DMI DME DHI DHE HME FIO HME DHE DHE DME FO DHE HI
DHE HCE DHE DHI DHE FMI FE DHI DHI DHE FME HDE DHE DHI FDE DHI DHE DHE DHE HME HME HM CDE DHI
DHI HI FMI DHI DME DHI DHI DHI DHI HM DHE DHI FME FMI DMO DHI DME HME DHE DHI HE DHE DME FMI
DME FMI HCE HME HMI HDE DFE DHI DHE HI HMI HME HME DHI DHE DHI DHE DHI FME DCE DHE DHI DHI HMI
HME DHE DHE DHI HDE DHI FDE FDI HI FM HMI DHI DHE DMI FD FDE DHI DHE FMI HE HCE FME DHI DMI
DHI DHE DHI FE CE DHI HI HI DHI DHI HI DHE DHE FDE DHI DHE HME FE DHE FME HME DHE FDE DME
DMI DHE DHI DHI DHE HCE DHI DHE HME HME HCE DHE DHI DHI DHE HCE HMI FME HME HME DME FDI HI DHI
HME DHE HME MO DHI FMO DHI DHI HME FE DHI DHI HMI FME DHI DME DHI DHE DMI DHE DHE DHI DHI DME
FHI DHE HCE FDO CE DHE FO HMI HI FCE HE FME HME HME FDO FMI HME DHI DHI FO HCE DHE DMI FD
DHI DHI DHI DHI DMI FDI DHE HME DHI DHI DME DHE FM DHI HMI FME DCE DHI FME DHE DHI DHI HI DHE
DHI FME DHI DHI HME DHI DHE HI HMI DHI DHI DHI DHI FME FM FO FDO HD DHE FME FME DHE DHI DMI
FME DMI HCE DHE DHE DHE DHE HME DHE DHI DHI DHI FHI HCE HME DHE DHI DHE DHI DHE DHI DHI FD DHE
DHI DHI FE HMI FHI DHE DME DMI DME DME DHI DCE FHI DHI FDI DHI DHI DHI DHI DHI DHE DHE DHI DHI
DHE DME DHE DHI DHE DHI DHI DHE DME DHI DHI DHI DHI DHI DHI DHE DHE FHI DME FME FME DHI DHI DHI
DHI DHI DMI FDI DHI DHI DME DME DHI DHI DHI HME HCE HCE DHE HME DHI DHI DHE FO FO DHI DHI DHI
DHI DMI DHI HME FMI DMI DME HME FME DHI DHI HME DHI DHI DHI HME DME DHI DHI DHE DME DHI DHI DMI
FME DHI DHI DHI FME DMI FMO DME HME HMI HME DHE FO HI DHI DHI DHI DHI DMI DHI DMO DHI DHI FM
DHE DHI DHI DHI DHI DIO HME DHI FO FO DHI DMI FME DME DHI DHE FD DME DHI DHI DHI DMI DHE FME
DHI DMI DHI DHE DHI FDI HME DHE HME FMI HCE DHI DHI FDE DHI DHI FHI DHI DHI DHI DHI DHI DME HME
DHI DME DMI HCE DHI DHI DHI DCE DHI FDI DMI FME DHI FME FMI DMI HME HME HMI FM DHI DHI DHI DME
HME DMI FMO DHI DHE DCE DMI DHI DHI FME FMI DHI DME DME DHI DHE DHI DME DHI DME HCE FHI DHI DHI
DHI DHI DHI DHI HCE HMI FI FDE DHE FI FMI DMI DHI FHI HME DHI DHI DHE DHI DHI DHI DHI DHI DME
DCE DMI DHI DHE DHI DHI DME DCE DHI DHE DHI DHE FHI FME FMI FDI DHI DHI DHI DHI DHI DMI HCE DHI
HI DHE DHI DHI DHI DHE FDE FDE DME DHI DHI DME FM HCE DME DHI DMI DHI DHI DME DHI FDI DHE DHI
DME DHI DHI FHI DMI DHI DMI DHI DHE DMI DHI HCE HMI DHI DHI DHI FCE DHI FDE DHE DME DHI DHI DHI
DHI DHI DHI HMI DHE HCE DHI DHI DHI DHI DHE DHI DME DME DHI DHI DHI FDE DHE FME DME HI DHI DHI
DHI HMI DHI DHI DHI DHI DHE DME DMI DHI DHI DHI DHI DMI DMI DHI FME DHI DHI DHI DME DHI DME DMI
DHE DMI DME DHI DHI FMI FME FME DME DHE DHI
